timestamp,mode,case,np,run,time_ms,status
20251230_153725,strong,FEM_3D_thermal2,1,1,33.558,OK
20251230_153725,strong,FEM_3D_thermal2,1,2,33.387,OK
20251230_153725,strong,FEM_3D_thermal2,1,3,33.453,OK
20251230_153725,strong,FEM_3D_thermal2,1,4,33.294,OK
20251230_153725,strong,FEM_3D_thermal2,1,5,33.466,OK
20251230_153725,strong,FEM_3D_thermal2,1,6,33.013,OK
20251230_153725,strong,FEM_3D_thermal2,1,7,33.615,OK
20251230_153725,strong,FEM_3D_thermal2,1,8,32.944,OK
20251230_153725,strong,FEM_3D_thermal2,1,9,32.637,OK
20251230_153725,strong,FEM_3D_thermal2,1,10,32.605,OK
20251230_153725,strong,FEM_3D_thermal2,2,1,158.257,OK
20251230_153725,strong,FEM_3D_thermal2,2,2,155.829,OK
20251230_153725,strong,FEM_3D_thermal2,2,3,155.905,OK
20251230_153725,strong,FEM_3D_thermal2,2,4,155.555,OK
20251230_153725,strong,FEM_3D_thermal2,2,5,157.150,OK
20251230_153725,strong,FEM_3D_thermal2,2,6,158.582,OK
20251230_153725,strong,FEM_3D_thermal2,2,7,155.852,OK
20251230_153725,strong,FEM_3D_thermal2,2,8,155.514,OK
20251230_153725,strong,FEM_3D_thermal2,2,9,158.426,OK
20251230_153725,strong,FEM_3D_thermal2,2,10,158.482,OK
20251230_153725,strong,FEM_3D_thermal2,4,1,122.838,OK
20251230_153725,strong,FEM_3D_thermal2,4,2,120.567,OK
20251230_153725,strong,FEM_3D_thermal2,4,3,123.620,OK
20251230_153725,strong,FEM_3D_thermal2,4,4,120.454,OK
20251230_153725,strong,FEM_3D_thermal2,4,5,121.099,OK
20251230_153725,strong,FEM_3D_thermal2,4,6,123.546,OK
20251230_153725,strong,FEM_3D_thermal2,4,7,121.511,OK
20251230_153725,strong,FEM_3D_thermal2,4,8,121.034,OK
20251230_153725,strong,FEM_3D_thermal2,4,9,121.326,OK
20251230_153725,strong,FEM_3D_thermal2,4,10,121.601,OK
20251230_153725,strong,FEM_3D_thermal2,8,1,82.101,OK
20251230_153725,strong,FEM_3D_thermal2,8,2,87.771,OK
20251230_153725,strong,FEM_3D_thermal2,8,3,86.570,OK
20251230_153725,strong,FEM_3D_thermal2,8,4,92.510,OK
20251230_153725,strong,FEM_3D_thermal2,8,5,86.059,OK
20251230_153725,strong,FEM_3D_thermal2,8,6,85.993,OK
20251230_153725,strong,FEM_3D_thermal2,8,7,86.879,OK
20251230_153725,strong,FEM_3D_thermal2,8,8,89.759,OK
20251230_153725,strong,FEM_3D_thermal2,8,9,91.749,OK
20251230_153725,strong,FEM_3D_thermal2,8,10,88.945,OK
20251230_153725,strong,FEM_3D_thermal2,16,1,55.979,OK
20251230_153725,strong,FEM_3D_thermal2,16,2,55.227,OK
20251230_153725,strong,FEM_3D_thermal2,16,3,59.484,OK
20251230_153725,strong,FEM_3D_thermal2,16,4,54.846,OK
20251230_153725,strong,FEM_3D_thermal2,16,5,56.859,OK
20251230_153725,strong,FEM_3D_thermal2,16,6,62.191,OK
20251230_153725,strong,FEM_3D_thermal2,16,7,54.684,OK
20251230_153725,strong,FEM_3D_thermal2,16,8,56.447,OK
20251230_153725,strong,FEM_3D_thermal2,16,9,58.602,OK
20251230_153725,strong,FEM_3D_thermal2,16,10,55.500,OK
20251230_153725,strong,FEM_3D_thermal2,32,1,36.076,OK
20251230_153725,strong,FEM_3D_thermal2,32,2,35.378,OK
20251230_153725,strong,FEM_3D_thermal2,32,3,35.745,OK
20251230_153725,strong,FEM_3D_thermal2,32,4,34.337,OK
20251230_153725,strong,FEM_3D_thermal2,32,5,37.895,OK
20251230_153725,strong,FEM_3D_thermal2,32,6,41.101,OK
20251230_153725,strong,FEM_3D_thermal2,32,7,34.552,OK
20251230_153725,strong,FEM_3D_thermal2,32,8,35.670,OK
20251230_153725,strong,FEM_3D_thermal2,32,9,38.524,OK
20251230_153725,strong,FEM_3D_thermal2,32,10,35.591,OK
20251230_153725,strong,FEM_3D_thermal2,64,1,232.337,OK
20251230_153725,strong,FEM_3D_thermal2,64,2,233.312,OK
20251230_153725,strong,FEM_3D_thermal2,64,3,234.252,OK
20251230_153725,strong,FEM_3D_thermal2,64,4,221.816,OK
20251230_153725,strong,FEM_3D_thermal2,64,5,260.020,OK
20251230_153725,strong,FEM_3D_thermal2,64,6,263.769,OK
20251230_153725,strong,FEM_3D_thermal2,64,7,259.633,OK
20251230_153725,strong,FEM_3D_thermal2,64,8,233.104,OK
20251230_153725,strong,FEM_3D_thermal2,64,9,24.122,OK
20251230_153725,strong,FEM_3D_thermal2,64,10,228.000,OK
20251230_153725,strong,FEM_3D_thermal2,128,1,12.047,OK
20251230_153725,strong,FEM_3D_thermal2,128,2,217.934,OK
20251230_153725,strong,FEM_3D_thermal2,128,3,212.862,OK
20251230_153725,strong,FEM_3D_thermal2,128,4,222.439,OK
20251230_153725,strong,FEM_3D_thermal2,128,5,13.111,OK
20251230_153725,strong,FEM_3D_thermal2,128,6,217.927,OK
20251230_153725,strong,FEM_3D_thermal2,128,7,224.599,OK
20251230_153725,strong,FEM_3D_thermal2,128,8,227.979,OK
20251230_153725,strong,FEM_3D_thermal2,128,9,12.798,OK
20251230_153725,strong,FEM_3D_thermal2,128,10,223.737,OK
