timestamp,mode,case,np,run,total_ms,comm_ms,comp_ms,gflops,bytes_per_iter,status
# JOBID=4946570.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=10 L=50 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/FEM_3D_thermal2/FEM_3D_thermal2.mtx XMODE=AUTO
20260108_091143,strong,FEM_3D_thermal2,1,1,4.596391,0.000052,4.595985,1.518278,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,1,2,4.488344,0.000033,4.487915,1.554827,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,1,3,4.614019,0.000052,4.613662,1.512477,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,1,4,4.628134,0.000067,4.627562,1.507865,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,1,5,4.631066,0.000081,4.630718,1.506910,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,1,6,4.591360,0.000105,4.590902,1.519942,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,1,7,4.573359,0.000062,4.572916,1.525924,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,1,8,4.165330,0.000033,4.165039,1.675401,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,1,9,4.568467,0.000076,4.567881,1.527558,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,1,10,4.420896,0.000043,4.420485,1.578549,0.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,1,2.579484,0.320969,2.258315,2.705425,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,2,2.566066,0.313897,2.251906,2.719572,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,3,2.568164,0.323238,2.244744,2.717350,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,4,2.587090,0.323644,2.263327,2.697471,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,5,2.638583,0.323672,2.314715,2.644828,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,6,2.602482,0.322523,2.279778,2.681517,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,7,2.666202,0.322247,2.343807,2.617431,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,8,2.587690,0.323534,2.263951,2.696845,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,9,2.563720,0.315037,2.248344,2.722060,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,2,10,2.601948,0.324879,2.276845,2.682068,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,1,1.564918,0.378351,1.195297,4.459404,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,2,1.659079,0.563002,1.105943,4.206311,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,3,1.608944,0.546784,1.110473,4.337379,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,4,1.536369,0.355735,1.181331,4.542267,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,5,1.555061,0.374336,1.183405,4.487669,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,6,1.541891,0.371299,1.171842,4.526001,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,7,1.564703,0.376482,1.189351,4.460016,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,8,1.601067,0.389314,1.217380,4.358719,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,9,1.541047,0.370698,1.179204,4.528479,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,4,10,1.553979,0.371685,1.184220,4.490795,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,1,1.270628,0.658302,0.622301,5.492245,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,2,1.147757,0.517612,0.643363,6.080209,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,3,1.104259,0.486231,0.628638,6.319710,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,4,1.362309,0.769610,0.610533,5.122625,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,5,1.056480,0.567713,0.541253,6.605518,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,6,1.323051,0.702548,0.625553,5.274625,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,7,1.261530,0.638452,0.622931,5.531855,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,8,1.254191,0.655656,0.615549,5.564223,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,9,1.293449,0.658650,0.634642,5.395341,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,8,10,1.350513,0.800853,0.564232,5.167372,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,1,1.642752,1.411691,0.319457,4.248116,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,2,1.616187,1.366372,0.322361,4.317941,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,3,1.618681,1.349144,0.300007,4.311288,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,4,1.651559,1.415558,0.307665,4.225462,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,5,1.684899,1.452599,0.312266,4.141850,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,6,1.776376,1.458068,0.319109,3.928561,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,7,1.563106,1.332583,0.308070,4.464574,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,8,1.522632,1.288042,0.300531,4.583249,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,9,1.758070,1.498384,0.327721,3.969467,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,16,10,1.671352,1.397476,0.322528,4.175421,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,1,1.709819,1.551929,0.164161,4.081485,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,2,1.659226,1.496620,0.176854,4.205936,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,3,1.777139,1.620579,0.168190,3.926874,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,4,1.845822,1.680913,0.197129,3.780754,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,5,1.739683,1.586919,0.184331,4.011420,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,6,1.692605,1.533899,0.162420,4.122994,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,7,1.820183,1.656818,0.189624,3.834011,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,8,1.758213,1.608148,0.164752,3.969144,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,9,1.867843,1.702042,0.180221,3.736182,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,32,10,1.697969,1.546197,0.175595,4.109968,1183200.00,OK
20260108_091143,strong,FEM_3D_thermal2,64,1,7.703452,7.489729,0.213461,0.905906,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,64,2,8.268356,8.163486,0.139723,0.844013,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,64,3,7.515182,7.417974,0.142508,0.928600,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,64,4,9.186325,9.096003,0.139966,0.759673,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,64,5,7.977242,7.867370,0.158672,0.874814,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,64,6,8.824768,8.675451,0.154905,0.790797,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,64,7,8.292480,8.171110,0.177059,0.841558,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,64,8,7.855015,7.711563,0.144219,0.888426,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,64,9,8.477516,8.349705,0.163784,0.823189,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,64,10,9.778075,9.617176,0.186272,0.713699,839722.08,OK
20260108_091143,strong,FEM_3D_thermal2,128,1,5.714765,5.667429,0.063772,1.221153,420959.92,OK
20260108_091143,strong,FEM_3D_thermal2,128,2,8.450265,8.410096,0.075412,0.825844,420959.92,OK
20260108_091143,strong,FEM_3D_thermal2,128,3,5.419393,5.378532,0.127130,1.287709,420959.92,OK
20260108_091143,strong,FEM_3D_thermal2,128,4,6.113009,6.064363,0.068626,1.141598,420959.92,OK
20260108_091143,strong,FEM_3D_thermal2,128,5,6.085825,6.032314,0.089822,1.146697,420959.92,OK
20260108_091143,strong,FEM_3D_thermal2,128,6,5.993667,5.940065,0.125842,1.164329,420959.92,OK
20260108_091143,strong,FEM_3D_thermal2,128,7,7.919283,7.795029,0.128775,0.881216,420959.92,OK
20260108_091143,strong,FEM_3D_thermal2,128,8,6.118155,6.076913,0.071659,1.140638,420959.92,OK
20260108_091143,strong,FEM_3D_thermal2,128,9,6.740055,6.697206,0.069323,1.035392,420959.92,OK
20260108_091143,strong,FEM_3D_thermal2,128,10,8.091431,8.025579,0.076056,0.862468,420959.92,OK
