timestamp,mode,case,np,run,time_ms,status
20251230_153754,strong,kron_g500-logn21,1,1,926.097,OK
20251230_153754,strong,kron_g500-logn21,1,2,936.255,OK
20251230_153754,strong,kron_g500-logn21,1,3,940.790,OK
20251230_153754,strong,kron_g500-logn21,1,4,941.734,OK
20251230_153754,strong,kron_g500-logn21,1,5,947.610,OK
20251230_153754,strong,kron_g500-logn21,1,6,915.505,OK
20251230_153754,strong,kron_g500-logn21,1,7,933.848,OK
20251230_153754,strong,kron_g500-logn21,1,8,921.358,OK
20251230_153754,strong,kron_g500-logn21,1,9,926.116,OK
20251230_153754,strong,kron_g500-logn21,1,10,912.139,OK
20251230_153754,strong,kron_g500-logn21,2,1,7390.805,OK
20251230_153754,strong,kron_g500-logn21,2,2,7405.697,OK
20251230_153754,strong,kron_g500-logn21,2,3,7317.984,OK
20251230_153754,strong,kron_g500-logn21,2,4,7392.102,OK
20251230_153754,strong,kron_g500-logn21,2,5,7404.797,OK
20251230_153754,strong,kron_g500-logn21,2,6,7242.835,OK
20251230_153754,strong,kron_g500-logn21,2,7,7341.820,OK
20251230_153754,strong,kron_g500-logn21,2,8,7348.564,OK
20251230_153754,strong,kron_g500-logn21,2,9,7269.510,OK
20251230_153754,strong,kron_g500-logn21,2,10,7342.357,OK
20251230_153754,strong,kron_g500-logn21,4,1,5158.761,OK
20251230_153754,strong,kron_g500-logn21,4,2,5265.598,OK
20251230_153754,strong,kron_g500-logn21,4,3,5153.239,OK
20251230_153754,strong,kron_g500-logn21,4,4,5206.628,OK
20251230_153754,strong,kron_g500-logn21,4,5,5180.382,OK
20251230_153754,strong,kron_g500-logn21,4,6,5254.763,OK
20251230_153754,strong,kron_g500-logn21,4,7,5249.100,OK
20251230_153754,strong,kron_g500-logn21,4,8,5298.124,OK
20251230_153754,strong,kron_g500-logn21,4,9,5409.335,OK
20251230_153754,strong,kron_g500-logn21,4,10,5197.413,OK
20251230_153754,strong,kron_g500-logn21,8,1,3026.596,OK
20251230_153754,strong,kron_g500-logn21,8,2,3053.999,OK
20251230_153754,strong,kron_g500-logn21,8,3,3021.559,OK
20251230_153754,strong,kron_g500-logn21,8,4,3084.410,OK
20251230_153754,strong,kron_g500-logn21,8,5,3090.203,OK
20251230_153754,strong,kron_g500-logn21,8,6,3104.685,OK
20251230_153754,strong,kron_g500-logn21,8,7,3028.009,OK
20251230_153754,strong,kron_g500-logn21,8,8,3078.814,OK
20251230_153754,strong,kron_g500-logn21,8,9,3060.325,OK
20251230_153754,strong,kron_g500-logn21,8,10,3017.353,OK
20251230_153754,strong,kron_g500-logn21,16,1,1925.939,OK
20251230_153754,strong,kron_g500-logn21,16,2,1752.251,OK
20251230_153754,strong,kron_g500-logn21,16,3,1735.123,OK
20251230_153754,strong,kron_g500-logn21,16,4,1744.703,OK
20251230_153754,strong,kron_g500-logn21,16,5,1757.638,OK
20251230_153754,strong,kron_g500-logn21,16,6,1742.335,OK
20251230_153754,strong,kron_g500-logn21,16,7,1729.517,OK
20251230_153754,strong,kron_g500-logn21,16,8,1742.634,OK
20251230_153754,strong,kron_g500-logn21,16,9,1761.037,OK
20251230_153754,strong,kron_g500-logn21,16,10,1707.031,OK
20251230_153754,strong,kron_g500-logn21,32,1,898.474,OK
20251230_153754,strong,kron_g500-logn21,32,2,909.345,OK
20251230_153754,strong,kron_g500-logn21,32,3,901.604,OK
20251230_153754,strong,kron_g500-logn21,32,4,895.615,OK
20251230_153754,strong,kron_g500-logn21,32,5,929.841,OK
20251230_153754,strong,kron_g500-logn21,32,6,894.690,OK
20251230_153754,strong,kron_g500-logn21,32,7,899.624,OK
20251230_153754,strong,kron_g500-logn21,32,8,892.973,OK
20251230_153754,strong,kron_g500-logn21,32,9,917.572,OK
20251230_153754,strong,kron_g500-logn21,32,10,914.616,OK
20251230_153754,strong,kron_g500-logn21,64,1,656.154,OK
20251230_153754,strong,kron_g500-logn21,64,2,550.365,OK
20251230_153754,strong,kron_g500-logn21,64,3,511.492,OK
20251230_153754,strong,kron_g500-logn21,64,4,555.767,OK
20251230_153754,strong,kron_g500-logn21,64,5,730.020,OK
20251230_153754,strong,kron_g500-logn21,64,6,558.491,OK
20251230_153754,strong,kron_g500-logn21,64,7,715.758,OK
20251230_153754,strong,kron_g500-logn21,64,8,521.669,OK
20251230_153754,strong,kron_g500-logn21,64,9,743.009,OK
20251230_153754,strong,kron_g500-logn21,64,10,528.523,OK
20251230_153754,strong,kron_g500-logn21,128,1,552.768,OK
20251230_153754,strong,kron_g500-logn21,128,2,580.719,OK
20251230_153754,strong,kron_g500-logn21,128,3,561.941,OK
20251230_153754,strong,kron_g500-logn21,128,4,527.794,OK
20251230_153754,strong,kron_g500-logn21,128,5,571.803,OK
20251230_153754,strong,kron_g500-logn21,128,6,574.991,OK
20251230_153754,strong,kron_g500-logn21,128,7,536.614,OK
20251230_153754,strong,kron_g500-logn21,128,8,581.903,OK
20251230_153754,strong,kron_g500-logn21,128,9,576.161,OK
20251230_153754,strong,kron_g500-logn21,128,10,553.449,OK
