timestamp,mode,case,np,run,total_ms,comm_ms,comp_ms,gflops,bytes_per_iter,status
# JOBID=4946570.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=10 L=50 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/kron_g500-logn21/kron_g500-logn21.mtx XMODE=AUTO
20260108_091143,strong,kron_g500-logn21,1,1,423.800368,0.000162,423.799791,0.429646,0.00,OK
20260108_091143,strong,kron_g500-logn21,1,2,371.392097,0.000119,371.391597,0.490274,0.00,OK
20260108_091143,strong,kron_g500-logn21,1,3,360.306115,0.000157,360.305471,0.505359,0.00,OK
20260108_091143,strong,kron_g500-logn21,1,4,415.907302,0.000124,415.906477,0.437800,0.00,OK
20260108_091143,strong,kron_g500-logn21,1,5,353.463492,0.000114,353.463082,0.515142,0.00,OK
20260108_091143,strong,kron_g500-logn21,1,6,349.123278,0.000052,349.122877,0.521546,0.00,OK
20260108_091143,strong,kron_g500-logn21,1,7,368.216305,0.000076,368.215890,0.494503,0.00,OK
20260108_091143,strong,kron_g500-logn21,1,8,355.299597,0.000086,355.299163,0.512480,0.00,OK
20260108_091143,strong,kron_g500-logn21,1,9,345.114150,0.000052,345.113845,0.527605,0.00,OK
20260108_091143,strong,kron_g500-logn21,1,10,356.989279,0.000110,356.988902,0.510055,0.00,OK
20260108_091143,strong,kron_g500-logn21,2,1,257.016554,6.269732,250.745893,0.708452,8849474.56,OK
20260108_091143,strong,kron_g500-logn21,2,2,269.970164,5.400414,264.609723,0.674460,8849474.56,OK
20260108_091143,strong,kron_g500-logn21,2,3,262.940288,5.360823,257.581072,0.692492,8849474.56,OK
20260108_091143,strong,kron_g500-logn21,2,4,262.673440,5.341263,257.332215,0.693195,8849474.56,OK
20260108_091143,strong,kron_g500-logn21,2,5,269.648452,5.430379,264.217606,0.675264,8849474.56,OK
20260108_091143,strong,kron_g500-logn21,2,6,267.897038,5.363569,262.533092,0.679679,8849474.56,OK
20260108_091143,strong,kron_g500-logn21,2,7,270.245337,5.429468,264.815402,0.673773,8849474.56,OK
20260108_091143,strong,kron_g500-logn21,2,8,259.156618,5.382156,253.795037,0.702602,8849474.56,OK
