timestamp,mode,case,np,run,time_ms
20251230_124133,strong,poisson3Db,1,1,NA
20251230_124133,strong,poisson3Db,1,2,NA
20251230_124133,strong,poisson3Db,1,3,NA
20251230_124133,strong,poisson3Db,1,4,NA
20251230_124133,strong,poisson3Db,1,5,NA
20251230_124133,strong,poisson3Db,2,1,NA
20251230_124133,strong,poisson3Db,2,2,NA
20251230_124133,strong,poisson3Db,2,3,NA
20251230_124133,strong,poisson3Db,2,4,NA
20251230_124133,strong,poisson3Db,2,5,NA
20251230_124133,strong,poisson3Db,4,1,NA
20251230_124133,strong,poisson3Db,4,2,NA
20251230_124133,strong,poisson3Db,4,3,NA
20251230_124133,strong,poisson3Db,4,4,NA
20251230_124133,strong,poisson3Db,4,5,NA
20251230_124133,strong,poisson3Db,8,1,NA
20251230_124133,strong,poisson3Db,8,2,NA
20251230_124133,strong,poisson3Db,8,3,NA
20251230_124133,strong,poisson3Db,8,4,NA
20251230_124133,strong,poisson3Db,8,5,NA
20251230_124133,strong,poisson3Db,16,1,NA
20251230_124133,strong,poisson3Db,16,2,NA
20251230_124133,strong,poisson3Db,16,3,NA
20251230_124133,strong,poisson3Db,16,4,NA
20251230_124133,strong,poisson3Db,16,5,NA
20251230_124133,strong,poisson3Db,32,1,NA
20251230_124133,strong,poisson3Db,32,2,NA
20251230_124133,strong,poisson3Db,32,3,NA
20251230_124133,strong,poisson3Db,32,4,NA
20251230_124133,strong,poisson3Db,32,5,NA
20251230_124133,strong,poisson3Db,64,1,NA
20251230_124133,strong,poisson3Db,64,2,NA
20251230_124133,strong,poisson3Db,64,3,NA
20251230_124133,strong,poisson3Db,64,4,NA
20251230_124133,strong,poisson3Db,64,5,NA
20251230_124133,strong,poisson3Db,128,1,NA
20251230_124133,strong,poisson3Db,128,2,NA
20251230_124133,strong,poisson3Db,128,3,NA
20251230_124133,strong,poisson3Db,128,4,NA
20251230_124133,strong,poisson3Db,128,5,NA
