timestamp,mode,case,np,run,time_ms,status
# JOBID=4904688.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=10 L=200 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/poisson3Db/poisson3Db.mtx
20260105_085836,strong,poisson3Db,1,1,13.559,OK
20260105_085836,strong,poisson3Db,1,2,13.664,OK
20260105_085836,strong,poisson3Db,1,3,13.254,OK
20260105_085836,strong,poisson3Db,1,4,14.644,OK
20260105_085836,strong,poisson3Db,1,5,14.809,OK
20260105_085836,strong,poisson3Db,1,6,14.174,OK
20260105_085836,strong,poisson3Db,1,7,13.909,OK
20260105_085836,strong,poisson3Db,1,8,15.037,OK
20260105_085836,strong,poisson3Db,1,9,13.804,OK
20260105_085836,strong,poisson3Db,1,10,15.386,OK
20260105_085836,strong,poisson3Db,2,1,7.603,OK
20260105_085836,strong,poisson3Db,2,2,7.889,OK
20260105_085836,strong,poisson3Db,2,3,7.447,OK
20260105_085836,strong,poisson3Db,2,4,7.371,OK
20260105_085836,strong,poisson3Db,2,5,7.345,OK
20260105_085836,strong,poisson3Db,2,6,6.714,OK
20260105_085836,strong,poisson3Db,2,7,7.478,OK
20260105_085836,strong,poisson3Db,2,8,7.072,OK
20260105_085836,strong,poisson3Db,2,9,7.119,OK
20260105_085836,strong,poisson3Db,2,10,7.220,OK
20260105_085836,strong,poisson3Db,4,1,3.741,OK
20260105_085836,strong,poisson3Db,4,2,3.877,OK
20260105_085836,strong,poisson3Db,4,3,3.777,OK
20260105_085836,strong,poisson3Db,4,4,3.501,OK
20260105_085836,strong,poisson3Db,4,5,3.835,OK
20260105_085836,strong,poisson3Db,4,6,3.845,OK
20260105_085836,strong,poisson3Db,4,7,5.055,OK
20260105_085836,strong,poisson3Db,4,8,4.019,OK
20260105_085836,strong,poisson3Db,4,9,3.525,OK
20260105_085836,strong,poisson3Db,4,10,3.865,OK
20260105_085836,strong,poisson3Db,8,1,2.160,OK
20260105_085836,strong,poisson3Db,8,2,1.986,OK
20260105_085836,strong,poisson3Db,8,3,1.871,OK
20260105_085836,strong,poisson3Db,8,4,1.955,OK
20260105_085836,strong,poisson3Db,8,5,2.025,OK
20260105_085836,strong,poisson3Db,8,6,1.931,OK
20260105_085836,strong,poisson3Db,8,7,3.416,OK
20260105_085836,strong,poisson3Db,8,8,1.959,OK
20260105_085836,strong,poisson3Db,8,9,1.966,OK
20260105_085836,strong,poisson3Db,8,10,1.914,OK
20260105_085836,strong,poisson3Db,16,1,0.966,OK
20260105_085836,strong,poisson3Db,16,2,1.014,OK
20260105_085836,strong,poisson3Db,16,3,0.964,OK
20260105_085836,strong,poisson3Db,16,4,1.012,OK
20260105_085836,strong,poisson3Db,16,5,0.984,OK
20260105_085836,strong,poisson3Db,16,6,0.998,OK
20260105_085836,strong,poisson3Db,16,7,1.058,OK
20260105_085836,strong,poisson3Db,16,8,0.963,OK
20260105_085836,strong,poisson3Db,16,9,1.166,OK
20260105_085836,strong,poisson3Db,16,10,1.006,OK
20260105_085836,strong,poisson3Db,32,1,0.503,OK
20260105_085836,strong,poisson3Db,32,2,0.516,OK
20260105_085836,strong,poisson3Db,32,3,0.519,OK
20260105_085836,strong,poisson3Db,32,4,0.505,OK
20260105_085836,strong,poisson3Db,32,5,0.550,OK
20260105_085836,strong,poisson3Db,32,6,0.542,OK
20260105_085836,strong,poisson3Db,32,7,0.515,OK
20260105_085836,strong,poisson3Db,32,8,0.537,OK
20260105_085836,strong,poisson3Db,32,9,0.507,OK
20260105_085836,strong,poisson3Db,32,10,1.612,OK
20260105_085836,strong,poisson3Db,64,1,0.274,OK
20260105_085836,strong,poisson3Db,64,2,0.263,OK
20260105_085836,strong,poisson3Db,64,3,0.288,OK
20260105_085836,strong,poisson3Db,64,4,0.270,OK
20260105_085836,strong,poisson3Db,64,5,0.274,OK
20260105_085836,strong,poisson3Db,64,6,0.260,OK
20260105_085836,strong,poisson3Db,64,7,0.278,OK
20260105_085836,strong,poisson3Db,64,8,0.301,OK
20260105_085836,strong,poisson3Db,64,9,0.266,OK
20260105_085836,strong,poisson3Db,64,10,0.278,OK
20260105_085836,strong,poisson3Db,128,1,0.150,OK
20260105_085836,strong,poisson3Db,128,2,0.131,OK
20260105_085836,strong,poisson3Db,128,3,0.139,OK
20260105_085836,strong,poisson3Db,128,4,0.278,OK
20260105_085836,strong,poisson3Db,128,5,0.131,OK
20260105_085836,strong,poisson3Db,128,6,0.132,OK
20260105_085836,strong,poisson3Db,128,7,0.136,OK
20260105_085836,strong,poisson3Db,128,8,0.161,OK
20260105_085836,strong,poisson3Db,128,9,0.141,OK
20260105_085836,strong,poisson3Db,128,10,0.139,OK
