timestamp,mode,case,np,run,total_ms,comm_ms,comp_ms,gflops,bytes_per_iter,status
# JOBID=4946570.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=10 L=50 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/poisson3Db/poisson3Db.mtx XMODE=AUTO
20260108_091143,strong,poisson3Db,1,1,3.480186,0.000052,3.479924,1.364840,0.00,OK
20260108_091143,strong,poisson3Db,1,2,3.700719,0.000043,3.700447,1.283507,0.00,OK
20260108_091143,strong,poisson3Db,1,3,3.737178,0.000072,3.736925,1.270985,0.00,OK
20260108_091143,strong,poisson3Db,1,4,3.838973,0.000029,3.838696,1.237283,0.00,OK
20260108_091143,strong,poisson3Db,1,5,3.459687,0.000024,3.459458,1.372927,0.00,OK
20260108_091143,strong,poisson3Db,1,6,3.122468,0.000019,3.122225,1.521200,0.00,OK
20260108_091143,strong,poisson3Db,1,7,3.101573,0.000033,3.101335,1.531448,0.00,OK
20260108_091143,strong,poisson3Db,1,8,3.691792,0.000029,3.691516,1.286610,0.00,OK
20260108_091143,strong,poisson3Db,1,9,3.604741,0.000048,3.604498,1.317681,0.00,OK
20260108_091143,strong,poisson3Db,1,10,3.637586,0.000024,3.637342,1.305783,0.00,OK
20260108_091143,strong,poisson3Db,2,1,5.830464,0.395503,5.434752,0.814669,691817.68,OK
20260108_091143,strong,poisson3Db,2,2,5.843539,0.394821,5.448565,0.812846,691817.68,OK
20260108_091143,strong,poisson3Db,2,3,5.736456,0.390649,5.345550,0.828020,691817.68,OK
20260108_091143,strong,poisson3Db,2,4,5.882506,0.404034,5.478206,0.807462,691817.68,OK
20260108_091143,strong,poisson3Db,2,5,5.877466,0.402422,5.474849,0.808154,691817.68,OK
20260108_091143,strong,poisson3Db,2,6,5.867767,0.397854,5.469766,0.809490,691817.68,OK
20260108_091143,strong,poisson3Db,2,7,5.847139,0.390058,5.456924,0.812346,691817.68,OK
20260108_091143,strong,poisson3Db,2,8,5.793266,0.388951,5.404153,0.819900,691817.68,OK
20260108_091143,strong,poisson3Db,2,9,5.719886,0.386453,5.333252,0.830418,691817.68,OK
20260108_091143,strong,poisson3Db,2,10,5.801535,0.399141,5.402164,0.818731,691817.68,OK
20260108_091143,strong,poisson3Db,4,1,1.305389,0.230937,1.105971,3.638683,684984.00,OK
