timestamp,mode,case,np,run,time_ms,status
# JOBID=4902685.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=strong RUNS=10 L=200 PLIST=1-2-4-8-16-32-64-128 MATRIX=mtx/webbase-1M/webbase-1M.mtx
20260102_151707,strong,webbase-1M,1,1,19.957,OK
20260102_151707,strong,webbase-1M,1,2,19.870,OK
20260102_151707,strong,webbase-1M,1,3,19.860,OK
20260102_151707,strong,webbase-1M,1,4,19.540,OK
20260102_151707,strong,webbase-1M,1,5,20.314,OK
20260102_151707,strong,webbase-1M,1,6,19.415,OK
20260102_151707,strong,webbase-1M,1,7,19.506,OK
20260102_151707,strong,webbase-1M,1,8,19.718,OK
20260102_151707,strong,webbase-1M,1,9,19.429,OK
20260102_151707,strong,webbase-1M,1,10,20.295,OK
20260102_151707,strong,webbase-1M,2,1,10.454,OK
20260102_151707,strong,webbase-1M,2,2,10.518,OK
20260102_151707,strong,webbase-1M,2,3,10.493,OK
20260102_151707,strong,webbase-1M,2,4,10.233,OK
20260102_151707,strong,webbase-1M,2,5,10.140,OK
20260102_151707,strong,webbase-1M,2,6,11.415,OK
20260102_151707,strong,webbase-1M,2,7,10.884,OK
20260102_151707,strong,webbase-1M,2,8,10.414,OK
20260102_151707,strong,webbase-1M,2,9,12.025,OK
20260102_151707,strong,webbase-1M,2,10,10.412,OK
20260102_151707,strong,webbase-1M,4,1,5.526,OK
20260102_151707,strong,webbase-1M,4,2,5.569,OK
20260102_151707,strong,webbase-1M,4,3,5.582,OK
20260102_151707,strong,webbase-1M,4,4,5.487,OK
20260102_151707,strong,webbase-1M,4,5,5.469,OK
20260102_151707,strong,webbase-1M,4,6,5.511,OK
20260102_151707,strong,webbase-1M,4,7,5.554,OK
20260102_151707,strong,webbase-1M,4,8,5.591,OK
20260102_151707,strong,webbase-1M,4,9,5.564,OK
20260102_151707,strong,webbase-1M,4,10,5.712,OK
20260102_151707,strong,webbase-1M,8,1,3.011,OK
20260102_151707,strong,webbase-1M,8,2,3.058,OK
20260102_151707,strong,webbase-1M,8,3,3.863,OK
20260102_151707,strong,webbase-1M,8,4,3.113,OK
20260102_151707,strong,webbase-1M,8,5,3.551,OK
20260102_151707,strong,webbase-1M,8,6,3.090,OK
20260102_151707,strong,webbase-1M,8,7,3.548,OK
20260102_151707,strong,webbase-1M,8,8,3.153,OK
20260102_151707,strong,webbase-1M,8,9,3.446,OK
20260102_151707,strong,webbase-1M,8,10,3.301,OK
20260102_151707,strong,webbase-1M,16,1,7.852,OK
20260102_151707,strong,webbase-1M,16,2,7.718,OK
20260102_151707,strong,webbase-1M,16,3,12.340,OK
20260102_151707,strong,webbase-1M,16,4,7.710,OK
20260102_151707,strong,webbase-1M,16,5,8.188,OK
20260102_151707,strong,webbase-1M,16,6,8.588,OK
20260102_151707,strong,webbase-1M,16,7,6.999,OK
20260102_151707,strong,webbase-1M,16,8,9.038,OK
20260102_151707,strong,webbase-1M,16,9,6.648,OK
20260102_151707,strong,webbase-1M,16,10,8.279,OK
20260102_151707,strong,webbase-1M,32,1,5.318,OK
20260102_151707,strong,webbase-1M,32,2,5.988,OK
20260102_151707,strong,webbase-1M,32,3,4.770,OK
20260102_151707,strong,webbase-1M,32,4,5.530,OK
20260102_151707,strong,webbase-1M,32,5,6.193,OK
20260102_151707,strong,webbase-1M,32,6,5.426,OK
20260102_151707,strong,webbase-1M,32,7,5.946,OK
20260102_151707,strong,webbase-1M,32,8,5.975,OK
20260102_151707,strong,webbase-1M,32,9,5.099,OK
20260102_151707,strong,webbase-1M,32,10,5.753,OK
20260102_151707,strong,webbase-1M,64,1,2.553,OK
20260102_151707,strong,webbase-1M,64,2,1.844,OK
20260102_151707,strong,webbase-1M,64,3,2.686,OK
20260102_151707,strong,webbase-1M,64,4,2.043,OK
20260102_151707,strong,webbase-1M,64,5,2.481,OK
20260102_151707,strong,webbase-1M,64,6,1.409,OK
20260102_151707,strong,webbase-1M,64,7,1.228,OK
20260102_151707,strong,webbase-1M,64,8,1.656,OK
20260102_151707,strong,webbase-1M,64,9,1.562,OK
20260102_151707,strong,webbase-1M,64,10,2.728,OK
20260102_151707,strong,webbase-1M,128,1,1.290,OK
20260102_151707,strong,webbase-1M,128,2,0.993,OK
20260102_151707,strong,webbase-1M,128,3,2.093,OK
20260102_151707,strong,webbase-1M,128,4,0.912,OK
20260102_151707,strong,webbase-1M,128,5,1.738,OK
20260102_151707,strong,webbase-1M,128,6,1.329,OK
20260102_151707,strong,webbase-1M,128,7,1.553,OK
20260102_151707,strong,webbase-1M,128,8,1.601,OK
20260102_151707,strong,webbase-1M,128,9,10.946,OK
20260102_151707,strong,webbase-1M,128,10,1.145,OK
