timestamp,mode,case,np,run,time_ms,status
# JOBID=4902686.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=weak RUNS=10 L=5 PLIST=1-2-4-8-16-32-64-128 ROWS_PER_RANK=50000 NNZ_PER_ROW=16 SEED=42
20260102_151737,weak,rows50000_nnz16_seed42,1,1,3.394,OK
20260102_151737,weak,rows50000_nnz16_seed42,1,2,3.377,OK
20260102_151737,weak,rows50000_nnz16_seed42,1,3,3.343,OK
20260102_151737,weak,rows50000_nnz16_seed42,1,4,3.498,OK
20260102_151737,weak,rows50000_nnz16_seed42,1,5,3.426,OK
20260102_151737,weak,rows50000_nnz16_seed42,1,6,3.339,OK
20260102_151737,weak,rows50000_nnz16_seed42,1,7,3.391,OK
20260102_151737,weak,rows50000_nnz16_seed42,1,8,3.386,OK
20260102_151737,weak,rows50000_nnz16_seed42,1,9,3.410,OK
20260102_151737,weak,rows50000_nnz16_seed42,1,10,3.397,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,1,5.125,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,2,5.210,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,3,5.097,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,4,4.775,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,5,5.648,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,6,4.618,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,7,4.589,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,8,4.749,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,9,4.575,OK
20260102_151737,weak,rows50000_nnz16_seed42,2,10,4.613,OK
20260102_151737,weak,rows50000_nnz16_seed42,4,1,6.468,OK
20260102_151737,weak,rows50000_nnz16_seed42,4,2,7.260,OK
20260102_151737,weak,rows50000_nnz16_seed42,4,3,6.007,OK
20260102_151737,weak,rows50000_nnz16_seed42,4,4,6.089,OK
20260102_151737,weak,rows50000_nnz16_seed42,4,5,7.352,OK
20260102_151737,weak,rows50000_nnz16_seed42,4,6,6.219,OK
20260102_151737,weak,rows50000_nnz16_seed42,4,7,8.452,OK
20260102_151737,weak,rows50000_nnz16_seed42,4,8,6.329,OK
20260102_151737,weak,rows50000_nnz16_seed42,4,9,8.455,OK
