timestamp,mode,case,np,run,total_ms,comm_ms,comp_ms,gflops,bytes_per_iter,status
# JOBID=4990116.hpc-head-n1.unitn.it TOTAL_RANKS=128 MODE=weak RUNS=10 L=5 PLIST=1-2-4-8-16-32-64-128 ROWS_PER_RANK=50000 NNZ_PER_ROW=16 SEED=42 XMODE=HALO
20260112_114154,weak,rows50000_nnz16_seed42,1,1,1.397848,0.000000,1.397371,1.144616,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,1,2,1.210213,0.000048,1.209831,1.322082,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,1,3,1.896763,0.000095,1.896143,0.843542,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,1,4,1.744318,0.000095,1.743793,0.917264,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,1,5,1.330948,0.000095,1.330280,1.202151,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,1,6,1.724529,0.000048,1.724052,0.927789,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,1,7,1.442480,0.000000,1.442003,1.109201,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,1,8,1.502848,0.000048,1.502419,1.064645,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,1,9,1.349258,0.000000,1.348639,1.185837,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,1,10,1.349592,0.000000,1.349163,1.185543,0.00,OK
20260112_114154,weak,rows50000_nnz16_seed42,2,1,4.046011,0.555325,3.490257,0.790902,879102.40,OK
20260112_114154,weak,rows50000_nnz16_seed42,2,2,3.554726,0.547504,3.012276,0.900210,879102.40,OK
20260112_114154,weak,rows50000_nnz16_seed42,2,3,3.948450,0.550890,3.396893,0.810445,879102.40,OK
20260112_114154,weak,rows50000_nnz16_seed42,2,4,4.990864,0.568581,4.421949,0.641172,879102.40,OK
20260112_114154,weak,rows50000_nnz16_seed42,2,5,5.583668,0.719929,4.862976,0.573100,879102.40,OK
